,year,semester,course_id,class_number,counts,key
99,2021,1,IF6080,2,31,2021-1-IF6080-2
100,2021,1,IF6081,1,15,2021-1-IF6081-1
101,2021,1,IF6083,1,21,2021-1-IF6083-1
102,2021,1,IF6099,1,24,2021-1-IF6099-1
103,2021,1,II2110,1,55,2021-1-II2110-1
104,2021,1,II2110,2,59,2021-1-II2110-2
105,2021,1,II2111,1,62,2021-1-II2111-1
106,2021,1,II2111,2,61,2021-1-II2111-2
107,2021,1,II2130,1,56,2021-1-II2130-1
108,2021,1,II2130,2,61,2021-1-II2130-2
109,2021,1,II3120,1,56,2021-1-II3120-1
110,2021,1,II3120,2,54,2021-1-II3120-2
111,2021,1,II3121,1,51,2021-1-II3121-1
112,2021,1,II3121,2,49,2021-1-II3121-2
113,2021,1,II3131,1,57,2021-1-II3131-1
114,2021,1,II3131,2,53,2021-1-II3131-2
115,2021,1,II3150,1,55,2021-1-II3150-1
116,2021,1,II3150,2,51,2021-1-II3150-2
117,2021,1,II3160,1,57,2021-1-II3160-1
118,2021,1,II3160,2,53,2021-1-II3160-2
119,2021,1,II4021,1,32,2021-1-II4021-1
120,2021,1,II4022,1,32,2021-1-II4022-1
121,2021,1,II4032,1,28,2021-1-II4032-1
122,2021,1,II4033,1,36,2021-1-II4033-1
123,2021,1,II4042,1,35,2021-1-II4042-1
124,2021,1,II4071,1,39,2021-1-II4071-1
125,2021,1,II4090,1,57,2021-1-II4090-1
126,2021,1,II4091,1,60,2021-1-II4091-1
127,2021,1,II4092,1,12,2021-1-II4092-1
128,2021,1,II4370,1,85,2021-1-II4370-1
129,2021,1,II4371,1,76,2021-1-II4371-1
130,2021,2,IF1210,1,53,2021-2-IF1210-1
131,2021,2,IF1210,2,54,2021-2-IF1210-2
132,2021,2,IF1210,3,51,2021-2-IF1210-3
133,2021,2,IF1210,4,52,2021-2-IF1210-4
134,2021,2,IF1210,5,50,2021-2-IF1210-5
135,2021,2,IF1210,7,52,2021-2-IF1210-7
136,2021,2,IF1210,8,52,2021-2-IF1210-8
137,2021,2,IF1210,9,53,2021-2-IF1210-9
138,2021,2,IF1210,10,50,2021-2-IF1210-10
139,2021,2,IF1210,11,32,2021-2-IF1210-11
140,2021,2,IF1210,12,31,2021-2-IF1210-12
141,2021,2,IF2210,1,58,2021-2-IF2210-1
142,2021,2,IF2210,2,56,2021-2-IF2210-2
143,2021,2,IF2210,3,57,2021-2-IF2210-3
144,2021,2,IF2211,1,57,2021-2-IF2211-1
145,2021,2,IF2211,2,57,2021-2-IF2211-2
146,2021,2,IF2211,3,57,2021-2-IF2211-3
147,2021,2,IF2212,1,58,2021-2-IF2212-1
148,2021,2,IF2212,2,62,2021-2-IF2212-2
149,2021,2,IF2220,1,57,2021-2-IF2220-1
150,2021,2,IF2220,2,57,2021-2-IF2220-2
151,2021,2,IF2220,3,59,2021-2-IF2220-3
152,2021,2,IF2230,1,57,2021-2-IF2230-1
153,2021,2,IF2230,2,57,2021-2-IF2230-2
154,2021,2,IF2230,3,56,2021-2-IF2230-3
155,2021,2,IF2240,1,60,2021-2-IF2240-1
156,2021,2,IF2240,2,61,2021-2-IF2240-2
157,2021,2,IF2240,3,64,2021-2-IF2240-3
158,2021,2,IF2250,1,64,2021-2-IF2250-1
159,2021,2,IF2250,2,64,2021-2-IF2250-2
160,2021,2,IF2250,3,43,2021-2-IF2250-3
161,2021,2,IF3210,1,57,2021-2-IF3210-1
162,2021,2,IF3210,2,54,2021-2-IF3210-2
