date,temperature,wind,humidity
2021-05-17,25.25,13.0,80.25
2021-05-18,23.75,11.0,82.75
2021-05-19,24.75,9.0,86.25
2021-05-20,25.0,11.0,74.25
2021-05-21,25.5,14.0,75.0
2021-05-22,25.25,14.75,78.25
2021-05-23,25.25,13.75,81.25
2021-05-24,25.5,10.333333333333334,77.75
2021-05-25,25.0,9.0,79.0
2021-05-26,25.5,10.333333333333334,73.25
2021-05-27,25.0,7.75,75.25
2021-05-28,24.0,10.666666666666666,80.66666666666667
2021-05-29,23.0,9.0,91.0
2021-05-30,25.25,14.333333333333334,81.0
2021-05-31,25.333333333333332,16.5,84.0
2021-06-01,25.0,9.666666666666666,81.25
2021-06-02,24.75,18.5,78.5
2021-06-03,26.0,12.75,79.5
2021-06-04,26.25,10.75,71.5
2021-06-05,25.0,12.25,75.25
2021-06-06,25.333333333333332,11.333333333333334,74.0
2021-06-07,26.0,11.75,68.0
2021-06-08,26.0,13.666666666666666,67.0
2021-06-09,25.0,12.5,76.75
2021-06-10,24.333333333333332,9.5,85.0
2021-06-11,24.5,10.666666666666666,80.75
2021-06-12,25.75,9.0,76.5
2021-06-13,26.0,12.5,75.0
2021-06-14,24.25,11.0,83.75
2021-06-15,24.0,11.0,82.0
2021-06-16,24.0,8.25,81.75
2021-06-17,23.25,14.25,86.25
2021-06-18,24.0,11.0,83.0
2021-06-19,23.0,14.0,86.0
2021-06-20,23.25,9.0,83.25
2021-06-21,22.25,8.5,86.75
2021-06-22,23.75,11.333333333333334,80.5
2021-06-23,23.0,9.0,88.5
2021-06-24,23.0,9.666666666666666,87.5
2021-06-25,23.75,12.333333333333334,84.0
2021-06-26,23.25,15.0,84.25
2021-06-27,24.0,13.666666666666666,81.66666666666667
2021-06-28,23.75,13.0,84.75
2021-06-29,24.0,8.333333333333334,83.0
2021-06-30,23.5,15.0,78.0
2021-07-01,23.75,11.0,86.5
2021-07-02,24.0,11.0,76.5
2021-07-03,24.75,15.25,70.25
2021-07-04,26.0,11.666666666666666,62.0
2021-07-05,25.25,14.75,70.5
2021-07-06,24.25,12.0,61.0
2021-07-07,24.0,6.666666666666667,64.5
2021-07-08,24.0,16.333333333333332,60.75
2021-07-09,23.75,11.25,74.75
2021-07-10,24.25,9.25,83.25
2021-07-11,24.0,15.666666666666666,77.25
2021-07-12,24.75,17.333333333333332,62.75
2021-07-13,24.25,13.75,72.25
2021-07-14,24.5,12.0,65.0
2021-07-15,25.0,14.0,62.0
2021-07-16,24.25,15.666666666666666,62.0
2021-07-17,25.0,9.75,73.0
2021-07-18,26.0,10.25,67.25
2021-07-19,24.5,11.0,79.0
2021-07-20,25.0,13.666666666666666,77.0
2021-07-21,25.0,8.25,78.5
2021-07-22,25.333333333333332,10.666666666666666,80.0
2021-07-23,23.0,,81.0
2021-07-24,24.666666666666668,11.0,77.33333333333333
2021-07-25,24.333333333333332,17.0,53.666666666666664
2021-07-26,22.5,9.0,66.0
2021-07-27,25.0,14.25,49.75
2021-07-28,24.0,16.0,60.0
2021-07-29,24.5,15.0,65.25
2021-07-30,24.0,8.5,76.0
2021-07-31,25.0,13.25,75.0
2021-08-02,28.0,11.0,48.0
2021-08-03,24.25,15.333333333333334,73.5
2021-08-04,23.0,22.0,87.0
2021-08-06,26.333333333333332,47.5,65.0
2021-08-07,25.0,7.75,75.0
2021-08-08,24.666666666666668,9.666666666666666,78.0
2021-08-09,25.333333333333332,17.0,78.0
2021-08-10,24.666666666666668,15.666666666666666,75.0
2021-08-11,25.5,21.0,56.25
2021-08-12,23.333333333333332,14.666666666666666,63.666666666666664
2021-08-13,23.75,9.75,77.5
2021-08-14,26.666666666666668,15.666666666666666,64.66666666666667
2021-08-15,26.0,17.666666666666668,65.0
2021-08-16,25.25,21.0,60.5
2021-08-17,25.75,11.0,61.25
2021-08-18,24.75,12.0,63.75
2021-08-19,23.666666666666668,15.5,85.66666666666667
2021-08-20,24.0,14.75,70.25
2021-08-21,24.25,14.25,75.5
2021-08-22,24.75,18.333333333333332,73.5
2021-08-23,25.5,12.0,67.0
2021-08-24,25.0,13.25,62.0
2021-08-25,22.0,9.0,73.0
2021-08-26,25.0,12.5,60.25
2021-08-27,27.5,13.333333333333334,51.5
2021-08-28,25.25,15.5,59.75
2021-08-29,24.0,12.5,74.75
2021-08-30,25.5,15.333333333333334,67.5
2021-08-31,26.5,20.333333333333332,63.5
2021-09-01,25.5,11.25,66.0
2021-09-02,25.75,13.5,60.25
2021-09-03,24.0,13.666666666666666,66.33333333333333
