course_id,course_name,exam_paper_based,class_electronic
II3230,Keamanan Informasi,False,True
II3240,Rekayasa Sistem dan Teknologi Informasi,False,True
II3260,Platform dan Pengembangan Aplikasi Mobile,False,True
II4021,Sistem Pendukung Pengambilan Keputusan,True,False
II4022,Audit Teknologi Informasi,False,False
II4031,Kriptografi dan Koding,False,True
II4032,Analisis & Perancangan Kinerja Sistem,False,False
II4033,Forensik Digital,False,True
II4034,Pemrosesan Bahasa Alami dan Ucapan,True,False
II4035,Sistem Cerdas,False,True
II4037,Internet of Things,True,False
II4038,Teknologi Komputasi Awan,False,True
II4039,Manajemen Produk,True,False
II4042,Kecerdasan Buatan untuk Bisnis,True,False
II4051,Rekayasa Sistem Multimedia,False,True
II4062,Data Warehouse & Business Intelligence,True,False
II4071,Keprofesian STI,True,False
II4090,Kerja Praktek,True,False
II4091,Tugas Akhir 1 & Seminar,True,False
II4092,Tugas Akhir 2,True,False
II4370,Hukum & Etika Teknologi Informasi,False,False
II4371,Kapita Selekta STI,False,False
II4472,Komunikasi Interpersonal,False,True
